Timestamp,Coin_type,Mint,Year,Age
3/8/2021 21:29:45,penny,D,1997,27
3/8/2021 21:31:14,penny,D,2006,18
3/9/2021 10:22:14,penny,D,2012,12
3/9/2021 10:22:34,penny,D,1996,28
3/9/2021 10:22:52,dime,D,2011,13
3/9/2021 10:24:05,quarter,D,2020,4
3/9/2021 10:24:18,penny,D,2007,17
3/9/2021 10:24:31,dime,D,2020,4
3/9/2021 10:24:48,penny,D,2019,5
3/9/2021 10:25:33,quarter,D,1982,42
3/9/2021 10:25:43,penny,D,1996,28
3/9/2021 10:25:59,penny,D,1997,27
3/9/2021 10:26:42,penny,D,1988,36
3/9/2021 10:27:13,dime,D,2017,7
3/9/2021 10:28:34,quarter,D,1981,43
3/9/2021 10:28:41,quarter,D,2020,4
3/9/2021 10:28:58,quarter,D,1977,47
3/9/2021 11:07:19,penny,D,2014,10
3/9/2021 11:07:42,penny,D,2009,15
3/9/2021 11:08:02,penny,D,2019,5
3/9/2021 11:08:26,penny,D,2019,5
3/9/2021 11:09:03,penny,D,1984,40
3/9/2021 11:09:28,penny,D,2009,15
3/13/2021 13:09:27,nickel,D,2019,5
3/13/2021 13:09:42,penny,D,1974,50
3/13/2021 13:09:58,penny,D,1991,33
3/13/2021 13:11:09,penny,D,2011,13
3/13/2021 13:11:40,dime,D,2014,10
3/13/2021 13:11:52,penny,D,2014,10
3/13/2021 13:12:04,dime,D,2004,20
3/13/2021 13:12:18,penny,D,2016,8
3/13/2021 13:12:33,penny,D,1983,41
3/13/2021 13:12:43,penny,D,2018,6
3/13/2021 13:12:58,dime,D,2015,9
3/13/2021 13:13:35,nickel,D,1995,29
3/13/2021 13:14:40,nickel,P,1992,32
3/13/2021 13:14:54,nickel,D,2016,8
3/13/2021 13:15:07,dime,D,2000,24
3/13/2021 13:15:21,dime,D,2014,10
3/13/2021 13:15:34,penny,D,2009,15
3/13/2021 13:16:05,penny,D,2015,9
3/13/2021 13:16:12,penny,D,2018,6
3/13/2021 13:16:47,nickel,D,2018,6
3/13/2021 13:16:57,nickel,D,1991,33
3/13/2021 13:17:16,nickel,D,1996,28
3/13/2021 13:18:16,penny,D,1979,45
3/13/2021 13:18:33,nickel,D,2011,13
3/13/2021 13:18:40,nickel,D,2016,8
3/13/2021 13:18:58,dime,D,2000,24
3/13/2021 13:19:07,penny,D,1961,63
3/13/2021 13:19:14,nickel,D,2018,6
3/13/2021 13:19:47,penny,P,1984,40
3/13/2021 13:20:01,nickel,D,2018,6
3/13/2021 13:20:19,nickel,D,2018,6
3/13/2021 13:20:29,penny,D,1997,27
3/13/2021 13:20:58,penny,D,2014,10
3/13/2021 13:21:06,penny,D,2007,17
3/13/2021 13:21:13,penny,D,2018,6
3/13/2021 13:21:21,dime,D,2020,4
3/13/2021 13:21:38,nickel,D,1994,30
3/13/2021 13:21:58,dime,D,2001,23
3/13/2021 13:22:09,dime,D,2016,8
3/13/2021 13:22:26,penny,D,1980,44
3/13/2021 13:23:10,dime,D,2019,5
3/13/2021 13:23:21,dime,D,1982,42
3/13/2021 13:23:56,nickel,D,2001,23
3/13/2021 13:24:04,penny,D,2019,5
3/13/2021 13:24:15,penny,D,2014,10
,quarter,S,2015,9
,quarter,D,2023,1
,quarter,D,2016,8
,penny,D,2019,5
,quarter,D,2017,7
,quarter,D,2017,7
,half dollar coin,D,1984,40
,nickel,d,2019,5
,dime,D,2000,24
,dime,D,2020,4
,penny,D,2018,6
,quarter,D,2016,8
,nickel,D,2014,10
,half dollar coin,D,1997,27
,penny,D,2022,2
,dime,D,2017,7
,penny,D,2024,0
,half dollar coin,D,1996,28
,half dollar coin,D,1990,34
,nickel,P,2014,10
,penny,d,2022,2
,dime,D,2022,2
,penny,D,1990,34
,half dollar coin,D,1971,53
,nickel,D,1985,39
,half dollar coin,D,1983,41
,dime,D,2022,2
,penny,D,1986,38
,quarter,D,2022,2
,quarter,D,2013,11
,quarter,D,2008,16
,half dollar coin,D,1972,52
,penny,D,2022,2
,penny,D,1973,51
,half dollar coin,D,1972,52
,quarter,D,2012,12
,penny,D,2017,7
,dime,D,1965,59
,penny,D,1984,40
,quarter,D,1976,48
,quarter,D,2020,4
,dime,P,2005,19
,dime,P,1980,44
,penny,D,1983,41
,nickel,P,1981,43
,dime,D,1999,25
,quarter,D,2000,24
,nickel,P,2003,21
,dime,P,2003,21
,penny,D,1981,43
,dime,P,2024,0
,dime,P,2022,2
,nickel,P,2014,10
,dime,P,2022,2
,half dollar coin,P,1983,41
